manufacturer,model_name,source_count,trust_levels,source_types,has_official_source,has_secondary_source,has_dealer_source,has_review_source,has_manual_mirror_source,relies_on_secondary_only,needs_official_followup
ADC,ALT-1,2,"secondary,official","secondary_table,manual_mirror",1,1,0,0,1,0,0
ADC,LMF-1 & LMF-2,3,"secondary,official","secondary_table,official_brochure",1,1,0,0,0,0,0
AMG,12JT,1,official,official_page,1,0,0,0,0,0,0
AMG,9W2,1,official,official_page,1,0,0,0,0,0,0
Acoustic Signature,TA-5000 NEO,1,official,official_page,1,0,0,0,0,0,0
Acoustic Signature,TA-7000 NEO 12-inch,1,official,official_page,1,0,0,0,0,0,0
Acoustic Signature,TA-7000 NEO 9-inch,1,official,official_page,1,0,0,0,0,0,0
Acoustic Solid,WTB 213,2,"secondary,official","dealer_page,official_page",1,1,1,0,0,0,0
Acoustic Solid,WTB 313 12-inch,2,"secondary,official","dealer_page,official_page",1,1,1,0,0,0,0
Acoustic Solid,WTB 370,5,"secondary,official","dealer_page,official_page",1,1,1,0,0,0,0
Acoustical Systems,AQUILAR Reference 10-inch,2,official,"official_page,official_pdf",1,0,0,0,0,0,0
Acoustical Systems,AXIOM Reference 12-inch,2,official,official_page,1,0,0,0,0,0,0
Air Tangent,2B,3,"secondary,official","dealer_page,review,official_website",1,1,1,1,0,0,0
Air Tangent,Model 2002,2,"official,secondary","official_website,review",1,1,0,1,0,0,0
Air Tangent,Reference,2,"official,secondary","official_website,review",1,1,0,1,0,0,0
Alphason,HR-100MCS,1,official,manual_mirror,1,0,0,0,1,0,0
Alphason,HR-100S,2,official,"manual_mirror,official_page",1,0,0,0,1,0,0
Alphason,Opal/Delta/Xenon/HR100S,3,"secondary,official","secondary_table,official_page,manual_mirror",1,1,0,0,1,0,0
Audio Craft,AC-30/300/3000/3300,4,"secondary,official","secondary_table,official_brochure,manual_mirror",1,1,0,0,1,0,0
Audio Craft,AC-400/4000/4400,4,"secondary,official","secondary_table,official_brochure,manual_mirror",1,1,0,0,1,0,0
Audio Creative,Groovemaster 4,2,"secondary,official","review,official_page",1,1,0,1,0,0,0
Audio Note,Arm One/II,1,official,official_page,1,0,0,0,0,0,0
Audio Note,Arm Three/II,1,official,official_page,1,0,0,0,0,0,0
Audio Origami,PU7,1,official,official_page,1,0,0,0,0,0,0
Audio-Technica,AT-1001/1005II/1007/1009,5,"secondary,official","secondary_reference,secondary_table,official_brochure",1,1,0,0,0,0,0
Audio-Technica,AT-1005 II,2,"secondary,official","secondary_reference,official_brochure",1,1,0,0,0,0,0
Audio-Technica,AT-1007,2,"secondary,official","secondary_reference,official_brochure",1,1,0,0,0,0,0
Audio-Technica,AT-1009,2,"secondary,official","secondary_reference,official_brochure",1,1,0,0,0,0,0
Audio-Technica,AT-1100,2,"secondary,official","secondary_reference,official_brochure",1,1,0,0,0,0,0
Audio-Technica,AT-1100/1010/1120,5,"secondary,official","secondary_reference,secondary_table,official_brochure,manual_mirror",1,1,0,0,1,0,0
Audio-Technica,AT-1501,3,"secondary,official","secondary_reference,official_brochure",1,1,0,0,0,0,0
Audio-Technica,AT-1501II,2,"secondary,official","secondary_table,official_brochure",1,1,0,0,0,0,0
Audio-Technica,"AT-1501III, IV",2,"secondary,official","secondary_table,official_brochure",1,1,0,0,0,0,0
Audio-Technica,AT-1503,3,"secondary,official","secondary_reference,official_brochure",1,1,0,0,0,0,0
Audio-Technica,AT-1503II,2,"secondary,official","secondary_table,official_brochure",1,1,0,0,0,0,0
Audio-Technica,"AT-1503III, IV, IIIa",2,"secondary,official","secondary_table,official_page",1,1,0,0,0,0,0
AudioQuest,PT-6/7/8/9,4,"secondary,official","secondary_table,manual_mirror",1,1,0,0,1,0,0
Audiomods,Series Six 10.5-inch,1,official,official_pdf,1,0,0,0,0,0,0
Audiomods,Series Six 9-inch Linn,1,official,official_pdf,1,0,0,0,0,0,0
Audiomods,Series Six 9-inch Rega,1,official,official_pdf,1,0,0,0,0,0,0
Avid,Nexus,1,official,official_page,1,0,0,0,0,0,0
Azden,PU-402 (SYNTEC S-220),3,"secondary,official","secondary_table,manual_mirror",1,1,0,0,1,0,0
Azden,PU-547 & PU-550,2,"secondary,official","secondary_table,manual_mirror",1,1,0,0,1,0,0
Azden,PU-549,2,"secondary,official","secondary_table,manual_mirror",1,1,0,0,1,0,0
Basis Audio,Vector 4,1,official,official_page,1,0,0,0,0,0,0
Belcanto,"Unipivot 10""",2,"secondary,official","secondary_table,manual_mirror",1,1,0,0,1,0,0
Belcanto,"Unipivot 12""",2,"secondary,official","secondary_table,manual_mirror",1,1,0,0,1,0,0
Breuer,Type 5A,3,"secondary,official","secondary_table,manual_mirror,secondary_reference",1,1,0,0,1,0,0
Breuer,Type 6A,3,"secondary,official","secondary_table,manual_mirror,secondary_reference",1,1,0,0,1,0,0
Breuer,Type 7 & 8,3,"secondary,official","secondary_table,manual_mirror,secondary_reference",1,1,0,0,1,0,0
Brinkmann,10.5,2,"official,secondary","official_page,secondary_table",1,1,0,0,0,0,0
Clearaudio,Clarify,3,"secondary,official","dealer_page,official_page",1,1,1,0,0,0,0
Clearaudio,Concept,1,official,official_distributor_page,1,0,0,0,0,0,0
Clearaudio,Magnify,2,"secondary,official","dealer_page,official_page",1,1,1,0,0,0,0
Clearaudio,Satisfy Kardan,2,"secondary,official","dealer_page,official_distributor_page",1,1,1,0,0,0,0
Clearaudio,Tracer,2,"official,secondary","official_page,dealer_page",1,1,1,0,0,0,0
Clearaudio,Tracer Black Carbon Fiber,1,official,official_page,1,0,0,0,0,0,0
Clearaudio,"Unify 10""",2,"secondary,official","dealer_page,official_page",1,1,1,0,0,0,0
Clearaudio,"Unify 12""",2,"secondary,official","dealer_page,official_page",1,1,1,0,0,0,0
Clearaudio,"Unify 14""",2,"secondary,official","dealer_page,official_page",1,1,1,0,0,0,0
Clearaudio,"Unify 9""",2,"official,secondary","official_page,secondary_table",1,1,0,0,0,0,0
Clearaudio,"Universal 12""",1,official,official_distributor_page,1,0,0,0,0,0,0
Clearaudio,"Universal 9""",1,official,official_distributor_page,1,0,0,0,0,0,0
Clearaudio,Verify,2,"secondary,official","dealer_page,official_page",1,1,1,0,0,0,0
Decca,International & Professional for transcription 12-16inches and SP record as well?,2,"secondary,official","secondary_table,official_brochure",1,1,0,0,0,0,0
Denon,DA-302/304/308/1000,4,"secondary,official","secondary_table,official_brochure",1,1,0,0,0,0,0
Denon,DA-303/305/307/309/401,6,"secondary,official","secondary_table,official_brochure",1,1,0,0,0,0,0
Dr. Feickert,Straight-10,3,"secondary,official","review,dealer_page,official_page",1,1,1,1,0,0,0
Durand,Talea,1,official,official_page,1,0,0,0,0,0,0
Durand,Tosca,1,official,official_page,1,0,0,0,0,0,0
Dynavector,DV-501/505/507,2,"official,secondary","official_page,secondary_table",1,1,0,0,0,0,0
EMT,909-HI,2,official,official_pdf,1,0,0,0,0,0,0
EMT,912,2,official,official_pdf,1,0,0,0,0,0,0
EMT,929 (it is questionable that RF229/RMA229 made by Ortofon for EMT 930 turntable had exactly same geometry as EMT 929),3,"secondary,official","manual_mirror,official_page,secondary_table",1,1,0,0,1,0,0
Empire,980 & 990,2,"secondary,official","secondary_table,manual_mirror",1,1,0,0,1,0,0
Excel,ES-1000 & Pro S1TA,2,"secondary,official","secondary_table,manual_mirror",1,1,0,0,1,0,0
Excel,ES-801,3,"secondary,official","secondary_table,manual_mirror,official_brochure",1,1,0,0,1,0,0
Fidelity Research,FR-12,3,"secondary,official","secondary_table,secondary_reference,official_brochure",1,1,0,0,0,0,0
Fidelity Research,FR-14/FR-24/FR-54/FR-64,6,"secondary,official","review,secondary_table,official_brochure",1,1,0,1,0,0,0
Fidelity Research,FR-34,3,"secondary,official","secondary_table,secondary_reference,official_brochure",1,1,0,0,0,0,0
Fidelity Research,FR-64S,3,"secondary,official","review,manual_mirror,official_brochure",1,1,0,1,1,0,0
Fidelity Research,FR-64fx,2,"secondary,official",manual_mirror,1,1,0,0,1,0,0
Fidelity Research,FR-66,3,"secondary,official","manual_mirror,secondary_reference,official_brochure",1,1,0,0,1,0,0
Fidelity Research,FR-66S,3,"secondary,official","manual_mirror,secondary_table,official_brochure",1,1,0,0,1,0,0
Fidelity Research,FR-66fx,3,"secondary,official","manual_mirror,secondary_table,official_brochure",1,1,0,0,1,0,0
Glanz,MH-1000S,1,official,official_page,1,0,0,0,0,0,0
Glanz,MH-104S,1,official,official_page,1,0,0,0,0,0,0
