source_id,source_name,source_url,source_type,trust_level,retrieved_at,local_snapshot_path,notes
1,BIGLOBE Arm Data,https://www7a.biglobe.ne.jp/~yosh/armdata.htm,secondary_table,secondary,2026-06-16T15:53:08+00:00,sources/biglobe_armdata.html,Public arm geometry table. Effective mass/cartridge range/arm mount mostly absent.
2,Ortofon TA-110 user manual,https://www.manualslib.com/manual/1449246/Ortofon-Ta-110.html,manual_mirror,secondary,2026-06-16T15:59:52+00:00,,ManualsLib extraction of Ortofon user guide
3,Sorane SA-1.2 instructions,https://www.manualslib.com/manual/1657349/Sorane-Sa-1-2.html,manual_mirror,secondary,2026-06-16T15:59:52+00:00,,ManualsLib extraction of Sorane instructions
4,Sumiko Premier FT-3 mounting and operating instructions,https://www.manualslib.com/manual/2513846/Sumiko-Premier-Ft-3.html,manual_mirror,secondary,2026-06-16T15:59:52+00:00,,ManualsLib extraction of Sumiko FT-3 instructions
5,SME Series V instructions PDF,https://sme.co.uk/wp-content/uploads/SME-series-v-instructions.pdf,official_pdf,official,2026-06-16T15:59:52+00:00,,Official SME PDF with geometry/spec snippets surfaced by web search
6,Rega RB330 official product page,https://www.rega.co.uk/products/rb330,official_page,official,2026-06-16T16:35:49+00:00,,Technical specs surfaced by official product page and official PDF/manual pairing
7,Rega RB330 official instructions PDF,https://www.rega.co.uk/download/rb330-retail-instructions-master-2017.pdf,official_pdf,official,2026-06-16T16:35:49+00:00,,Official Rega fitting instructions
8,Graham Phantom III official page,https://graham-engineering.com/products/tonearms/phantom-iii/,official_page,official,2026-06-16T16:35:49+00:00,,Official geometry values surfaced by product-page search snippet
9,Graham Phantom Elite brochure,https://www.audiotuning.com/wp-content/uploads/2023/07/GRAHAM-Phantom-Elite-EN.pdf,official_pdf,official,2026-06-16T16:35:49+00:00,,Graham Phantom Elite technical sheet
10,Kuzma 4Point official manual,https://www.kuzma.si/media/uploads/files/IM%204POINT%2081126.pdf,official_pdf,official,2026-06-16T16:35:49+00:00,,Official Kuzma 4Point manual
11,Kuzma tonearms FAQ,https://www.kuzma.si/kuzma-tonearms.html,official_page,official,2026-06-16T16:35:49+00:00,,Official Kuzma FAQ table and setup notes
12,Tri-Planar official Mk VII page,https://www.triplanar.com/mk-vii/,official_page,official,2026-06-16T16:35:49+00:00,,Official Tri-Planar Mk VII specs
13,Tri-Planar official U2 SE page,https://www.triplanar.com/u2-se/,official_page,official,2026-06-16T16:35:49+00:00,,Official Tri-Planar U2 SE specs
14,Supatrac official site,https://www.supatrac.com/,official_page,official,2026-06-16T16:35:49+00:00,,Official Supatrac site lists 9.3 inch Rega/Michell version and base effective mass
15,Origin Live tonearm specifications,https://www.originlive.com/shop/tonearms-specifications-all-arms,official_page,official,2026-06-16T16:35:49+00:00,,Official Origin Live all-arms specification chart
16,Reed 3P official page,https://www.reed.lt/product/reed-3p/,official_page,official,2026-06-16T16:38:05+00:00,,Official Reed 3P product page; lengths given in inches and key geometry in metric
17,Moerch official specifications,http://www.moerch.dk/spec1.htm,official_page,official,2026-06-16T16:38:05+00:00,,Official Moerch technical specifications page
18,Wilson Benesch analogue brochure,https://nirvanasound.com/wp-content/uploads/brochures/Wilson-Benesch-Analogue-brochure-web-LR.pdf,official_pdf,official,2026-06-16T16:38:05+00:00,,Official Wilson Benesch analogue brochure
19,VPI official unipivot tonearms page,https://www.vpiindustries.com/unipivot,official_page,official,2026-06-16T16:38:05+00:00,,Official VPI JMW spec page
20,Pro-Ject Evolution tonearm manual,https://pro-jectusa.com/wp-content/uploads/2020/05/Pro-Ject-Evolution-Tonearm-User-Manual.pdf,official_pdf,official,2026-06-16T16:38:05+00:00,,Official Pro-Ject Evolution tonearm manual / official spec page
21,BIGLOBE grouped legacy split,https://www7a.biglobe.ne.jp/~yosh/armdata.htm,secondary_table,secondary,2026-06-16T16:41:04+00:00,,Split exact-model record from grouped BIGLOBE row 'RB250 & RB300'
22,Kuzma tonearms FAQ,https://www.kuzma.si/kuzma-tonearms.html,official_page,official,2026-06-16T16:41:04+00:00,,Official Kuzma FAQ table and setup notes
23,Reed 1H official page,https://www.reed.lt/product/reed-1h/,official_page,official,2026-06-16T16:41:04+00:00,,Official Reed 1H product page
24,Moerch official specifications,http://www.moerch.dk/spec1.htm,official_page,official,2026-06-16T16:41:04+00:00,,Official Moerch technical specifications page
25,VPI official unipivot tonearms page,https://www.vpiindustries.com/unipivot,official_page,official,2026-06-16T16:41:04+00:00,,Official VPI JMW spec page
26,Wilson Benesch analogue owner manual,https://www.decibel.ch/upfiles/documents/wilson-beneschanaloguemanual-52281.pdf,official_pdf,official,2026-06-16T16:41:04+00:00,,Wilson Benesch manual with ACT 0.5 / ACT Two / Nanotube geometry
27,SAT 9 vs 12 geometry paper,https://swedishat.com/SAT%209%22%20vs%2012%22%20paper.pdf,official_pdf,official,2026-06-16T16:44:31+00:00,,Official SAT geometry paper by Marc Gomez
28,Thales Simplicity II official page,https://www.thales.swiss/thales-simplicity.html,official_page,official,2026-06-16T16:44:31+00:00,,Official Thales Simplicity II product page
29,Flyer Simplicity II,https://exaudio.pt/wp-content/uploads/2022/02/Flyer-Simplicity-II.pdf,official_pdf,official,2026-06-16T16:44:31+00:00,,Official Simplicity II flyer
30,Thales Statement official page,https://www.thales.swiss/thales-statement1.html,official_page,official,2026-06-16T16:44:31+00:00,,Official Thales Statement product page
31,WTL LTD manual,https://www.welltemperedlab.net/assets/Uploads/WTL-LTD-Manual-Rev.-March-2014.pdf,official_pdf,official,2026-06-16T16:44:31+00:00,,Official Well Tempered Lab LTD instruction manual
32,Royale 400 brochure,https://www.welltemperedlab.net/assets/Uploads/Royale-Brochure.pdf,official_pdf,official,2026-06-16T16:44:31+00:00,,Official Royale 400 brochure
33,Air Force 10 leaflet,https://rcm.com.pl/oferta/techdas/images/AF10_leaflet.pdf,official_pdf,official,2026-06-16T16:44:31+00:00,,TechDAS Air Force 10 leaflet with geometry table
34,Raven 10.5 official page,https://tw-acustic.de/en/tonearms/raven-10-5,official_page,official,2026-06-16T16:44:31+00:00,,Official TW-Acustic Raven 10.5 product page
35,Korf TA-SF9 official product page,https://korfaudio.com/ta-sf9,official_page,official,2026-06-16T16:50:17+00:00,,Official Korf product page/web specs
36,Korf TA-SF11R official product page,https://korfaudio.com/ta-sf11r,official_page,official,2026-06-16T16:50:17+00:00,,Official Korf product page/web specs
37,AMG 9W2 official product page,https://analog-manufaktur-germany.de/en/tonearms/9w2/,official_page,official,2026-06-16T16:50:17+00:00,,Official AMG 9W2 product page
38,AMG 12JT official product page,https://analog-manufaktur-germany.de/en/tonearms/12jt/,official_page,official,2026-06-16T16:50:17+00:00,,Official AMG 12JT product page
39,Schroeder Reference official mounting schematic,http://schroeder-tonarme.de/ref-mounting-scheme.html,official_page,official,2026-06-16T16:50:17+00:00,,Official Schroeder Reference mounting schematic
40,Phantom III SE official page,https://graham-engineering.com/products/tonearms/phantom-iii-se/,official_page,official,2026-06-16T16:50:17+00:00,,Official Graham Phantom III SE product page
41,Audiomods Series Six dimensions PDF,http://www.audiomods.co.uk/downloads/micArmDimensionsS6.pdf,official_pdf,official,2026-06-16T16:50:17+00:00,,Official Audiomods Series Six dimensions sheet
42,Basis Audio Vector 4 official product page,https://www.basisaudio.com/tonearm/vector-4/,official_page,official,2026-06-16T16:50:17+00:00,,Official Basis Audio Vector 4 product page and spec snippet
43,VPI Unipivot Tonearms official page,https://www.vpiindustries.com/unipivot,official_page,official,2026-06-16T16:50:17+00:00,,Official VPI unipivot tonearm page
44,Supatrac official page,https://www.supatrac.com/,official_page,official,2026-06-16T16:54:38+00:00,,Official Supatrac product page with Nighthawk size list and protractor mounting distances
45,Schroeder CB Tonearm spec page,https://dohmannaudio.com/schroder-cb-tonearm/,dealer_page,secondary,2026-06-16T16:54:38+00:00,,Dohmann Audio spec table for current Schroeder CB tonearm family
46,Kuzma 4Point 9 official page,https://www.kuzma.si/4point-9.html,official_page,official,2026-06-16T16:54:38+00:00,,Official Kuzma 4Point 9 product page
47,Kuzma 4Point 14 brochure,https://www.kuzma.si/media/uploads/files/BROCHURE%20%204POINT%2014%20%20150601.pdf,official_pdf,official,2026-06-16T16:54:38+00:00,,Official Kuzma 4Point 14 brochure
48,Gold Note B-5.2 official product page,https://www.goldnote.it/turntables/b-5-1/,official_page,official,2026-06-16T16:59:56+00:00,,Official Gold Note page currently serving B-5.2 content at legacy B-5.1 path
49,Gold Note B-7 Ceramic official product page,https://www.goldnote.it/turntables/b-7-ceramic/,official_page,official,2026-06-16T16:59:56+00:00,,Official Gold Note B-7 Ceramic product page
50,Ortofon AS-212R / AS-309R userguide,https://ortofon.com/cdn/shop/files/Userguide_Tonearm_AS-212R_AS-309R.pdf?v=16206892059160213752,official_pdf,official,2026-06-16T16:59:56+00:00,,Official Ortofon userguide for AS-212R and AS-309R
51,Ortofon RS-212D official product page,https://ortofon.com/pages/rs-212d-9,official_page,official,2026-06-16T16:59:56+00:00,,Official Ortofon RS-212D product page
52,Ortofon RS-309D official product page,https://ortofon.com/pages/rs-309d-12,official_page,official,2026-06-16T16:59:56+00:00,,Official Ortofon RS-309D product page
53,Supatrac official page,https://www.supatrac.com/,official_page,official,2026-06-16T17:02:32+00:00,,Official Supatrac page with Blackbird size list and protractor mounting distances
54,Supatrac Blackbird Farpoint manual,https://www.supatrac.com/manual-farpoint.pdf,official_pdf,official,2026-06-16T17:02:32+00:00,,Official Blackbird Farpoint manual plus official Supatrac site size/protractor scheme
55,Kuzma Air Line official page,https://www.kuzma.si/air-line.html,official_page,official,2026-06-16T17:02:32+00:00,,Official Kuzma Air Line page with public technical data
56,Kuzma Stogi S brochure,https://www.kuzma.si/media/uploads/files/KUZMA%20Stogi%20S%20tonearm%202011(1).pdf,official_pdf,official,2026-06-16T17:02:32+00:00,,Official Kuzma Stogi S brochure
57,Kuzma Stogi Ref official page,https://www.kuzma.si/stogi-ref.html,official_page,official,2026-06-16T17:54:38+00:00,,Official Kuzma Stogi Ref product page
58,Kuzma Stogi Ref 313 official page,https://www.kuzma.si/stogi-ref-313.html,official_page,official,2026-06-16T17:54:38+00:00,,Official Kuzma Stogi Ref 313 product page
59,Kuzma Stogi Ref 313 VTA official page,https://www.kuzma.si/stogi-ref-313-vta.html,official_page,official,2026-06-16T17:54:38+00:00,,Official Kuzma Stogi Ref 313 VTA product page
60,VPI tonearm geometry analysis,https://www.vinylengine.com/vpi-tonearm-geometry.shtml,secondary_analysis,secondary,2026-06-16T19:49:47+00:00,,Secondary geometry analysis; official VPI pages confirm adjacent JMW family and model naming but not full geometry table
61,Reed 3P official page,https://www.reed.lt/product/reed-3p/,official_page,official,2026-06-16T19:51:51+00:00,,Official Reed 3P product page
62,Moerch official specifications,http://www.moerch.dk/spec1.htm,official_page,official,2026-06-16T20:33:51+00:00,,Official Moerch specifications page covering DP-6 DP-8 and UP-4
63,Kuzma tonearms official page,https://www.kuzma.si/tonearms,official_page,official,2026-06-16T20:35:20+00:00,,Official Kuzma tonearms model table
64,Tri-Planar Mk VII official page,https://www.triplanar.com/mk-vii/,official_page,official,2026-06-16T20:54:24+00:00,,Official Tri-Planar Mk VII product page
65,Tri-Planar U2 SE official page,https://www.triplanar.com/u2-se/,official_page,official,2026-06-16T20:54:24+00:00,,Official Tri-Planar U2 SE product page
66,Tri-Planar U12 official page,https://www.triplanar.com/u-12/,official_page,official,2026-06-16T20:54:24+00:00,,Official Tri-Planar U12 product page
