tonearm_model_id,manufacturer,model_name,normalized_model_name,display_name,notes,created_at
65,ADC,ALT-1,alt-1,ADC ALT-1,,2026-06-16T15:53:09+00:00
64,ADC,LMF-1 & LMF-2,lmf-1-lmf-2,ADC LMF-1 & LMF-2,,2026-06-16T15:53:09+00:00
187,AMG,12JT,12jt,AMG 12JT,,2026-06-16T16:50:17+00:00
186,AMG,9W2,9w2,AMG 9W2,,2026-06-16T16:50:17+00:00
278,Acoustic Signature,TA-5000 NEO,ta-5000-neo,Acoustic Signature TA-5000 NEO,Official Acoustic Signature TA-5000 NEO 9-inch representation.,2026-06-17T02:07:06+00:00
280,Acoustic Signature,TA-7000 NEO 12-inch,ta-7000-neo-12-inch,Acoustic Signature TA-7000 NEO 12-inch,Official Acoustic Signature TA-7000 NEO 12-inch representation.,2026-06-17T02:07:06+00:00
279,Acoustic Signature,TA-7000 NEO 9-inch,ta-7000-neo-9-inch,Acoustic Signature TA-7000 NEO 9-inch,Official Acoustic Signature TA-7000 NEO 9-inch representation.,2026-06-17T02:07:06+00:00
268,Acoustic Solid,WTB 213,wtb-213,Acoustic Solid WTB 213,Exact seeded Acoustic Solid target represented from dealer page with published geometry and construction details.,2026-06-17T00:03:37+00:00
267,Acoustic Solid,WTB 313 12-inch,wtb-313-12-inch,Acoustic Solid WTB 313 12-inch,"User-supplied dealer listing. Not one of current seeded WTB 213 / WTB 370 targets, but useful exact Acoustic Solid model coverage.",2026-06-17T00:00:32+00:00
269,Acoustic Solid,WTB 370,wtb-370,Acoustic Solid WTB 370,Exact seeded Acoustic Solid target represented from dealer package page; geometry still not explicit on retrieved sources.,2026-06-17T00:03:37+00:00
284,Acoustical Systems,AQUILAR Reference 10-inch,aquilar-reference-10-inch,Acoustical Systems AQUILAR Reference 10-inch,Official Acoustical Systems AQUILAR 10-inch reference tonearm representation.,2026-06-17T02:25:27+00:00
281,Acoustical Systems,AXIOM Reference 12-inch,axiom-reference-12-inch,Acoustical Systems AXIOM Reference 12-inch,Official Acoustical Systems AXIOM 12-inch reference tonearm representation.,2026-06-17T02:07:06+00:00
299,Air Tangent,2B,2b,Air Tangent 2B,Exact Air Tangent 2B target represented from strongest exact-model archival page currently surfaced.,2026-06-18T03:20:02+00:00
300,Air Tangent,Model 2002,model-2002,Air Tangent Model 2002,Exact Air Tangent Model 2002 represented from archived official manufacturer homepage.,2026-06-18T03:35:30+00:00
301,Air Tangent,Reference,reference,Air Tangent Reference,Exact Air Tangent Reference represented from archived official manufacturer homepage.,2026-06-18T03:40:15+00:00
296,Alphason,HR-100MCS,hr-100mcs,Alphason HR-100MCS,Exact Alphason silver-wired variant target from mirrored manual-library support.,2026-06-18T03:14:16+00:00
295,Alphason,HR-100S,hr-100s,Alphason HR-100S,Exact Alphason reference tonearm target from official history support.,2026-06-18T03:14:16+00:00
66,Alphason,Opal/Delta/Xenon/HR100S,opal-delta-xenon-hr100s,Alphason Opal/Delta/Xenon/HR100S,,2026-06-16T15:53:09+00:00
1,Audio Craft,AC-30/300/3000/3300,ac-30-300-3000-3300,Audio Craft AC-30/300/3000/3300,,2026-06-16T15:53:09+00:00
2,Audio Craft,AC-400/4000/4400,ac-400-4000-4400,Audio Craft AC-400/4000/4400,,2026-06-16T15:53:09+00:00
264,Audio Creative,Groovemaster 4,groovemaster-4,Audio Creative Groovemaster 4,Current Audio Creative Groovemaster 4 tonearm represented from detailed review coverage.,2026-06-16T23:55:13+00:00
265,Audio Note,Arm One/II,arm-one-ii,Audio Note Arm One/II,Official descriptive hydration from manufacturer page; geometry values not published on retrieved page.,2026-06-16T23:58:47+00:00
266,Audio Note,Arm Three/II,arm-three-ii,Audio Note Arm Three/II,Official descriptive hydration from manufacturer page; geometry values not published on retrieved page.,2026-06-16T23:58:47+00:00
348,Audio Origami,PU7,pu7,Audio Origami PU7,Workbook PU7 follow-up using current official PU7 GTS page.,2026-06-18T07:59:15+00:00
8,Audio-Technica,AT-1001/1005II/1007/1009,at-1001-1005ii-1007-1009,Audio-Technica AT-1001/1005II/1007/1009,,2026-06-16T15:53:09+00:00
255,Audio-Technica,AT-1005 II,at-1005-ii,Audio-Technica AT-1005 II,Exact historic Audio-Technica tonearm model represented from hifi-wiki scanned specification image.,2026-06-16T23:31:00+00:00
256,Audio-Technica,AT-1007,at-1007,Audio-Technica AT-1007,Exact historic Audio-Technica tonearm model represented from hifi-wiki scanned specification image.,2026-06-16T23:31:00+00:00
257,Audio-Technica,AT-1009,at-1009,Audio-Technica AT-1009,Exact historic Audio-Technica tonearm model represented from hifi-wiki scanned specification image.,2026-06-16T23:31:00+00:00
258,Audio-Technica,AT-1100,at-1100,Audio-Technica AT-1100,Exact historic Audio-Technica tonearm model represented from hifi-wiki scanned specification image.,2026-06-16T23:31:00+00:00
7,Audio-Technica,AT-1100/1010/1120,at-1100-1010-1120,Audio-Technica AT-1100/1010/1120,,2026-06-16T15:53:09+00:00
259,Audio-Technica,AT-1501,at-1501,Audio-Technica AT-1501,Historic Audio-Technica AT-1500-series tonearm represented from hifi-wiki references and scanned advertisement.,2026-06-16T23:33:46+00:00
3,Audio-Technica,AT-1501II,at-1501ii,Audio-Technica AT-1501II,,2026-06-16T15:53:09+00:00
4,Audio-Technica,"AT-1501III, IV",at-1501iii-iv,"Audio-Technica AT-1501III, IV",,2026-06-16T15:53:09+00:00
260,Audio-Technica,AT-1503,at-1503,Audio-Technica AT-1503,Historic Audio-Technica AT-1500-series tonearm represented from hifi-wiki references and scanned advertisement.,2026-06-16T23:33:46+00:00
5,Audio-Technica,AT-1503II,at-1503ii,Audio-Technica AT-1503II,,2026-06-16T15:53:09+00:00
