manufacturer_name,model_name,target_group,target_type,priority_tier,status,source_hint,notes
Graham,Phantom Elite,Phantom,standalone-upgrade,primary,superseded,official brochure,"Replaced by exact Phantom Elite 9-inch, 10-inch, and 12-inch variants."
Graham,Phantom Elite 10-inch,Phantom,standalone-upgrade,primary,hydrated,official brochure,Exact-size target split from generic Phantom Elite.
Graham,Phantom Elite 12-inch,Phantom,standalone-upgrade,primary,hydrated,official brochure,Exact-size target split from generic Phantom Elite.
Graham,Phantom Elite 9-inch,Phantom,standalone-upgrade,primary,hydrated,official brochure,Exact-size target split from generic Phantom Elite.
Graham,Phantom III,Phantom,standalone-upgrade,primary,superseded,official site,"Replaced by exact Phantom III 9-inch, 10-inch, and 12-inch variants."
Graham,Phantom III 10-inch,Phantom,standalone-upgrade,primary,hydrated,official page,Exact-size target split from generic Phantom III.
Graham,Phantom III 12-inch,Phantom,standalone-upgrade,primary,hydrated,official page,Exact-size target split from generic Phantom III.
Graham,Phantom III 9-inch,Phantom,standalone-upgrade,primary,hydrated,official page,Exact-size target split from generic Phantom III.
Graham,Phantom III SE,Phantom,standalone-upgrade,primary,superseded,official site,"Replaced by exact Phantom III SE 9-inch, 10-inch, and 12-inch variants."
Graham,Phantom III SE 10-inch,Phantom,standalone-upgrade,primary,hydrated,official page,Exact-size Phantom III SE target from official page.
Graham,Phantom III SE 12-inch,Phantom,standalone-upgrade,primary,hydrated,official page,Exact-size Phantom III SE target from official page.
Graham,Phantom III SE 9-inch,Phantom,standalone-upgrade,primary,hydrated,official page,Exact-size Phantom III SE target from official page.
Kuzma,4Point,4Point,standalone-upgrade,primary,superseded,official manuals,"Replaced by exact 4Point 9-inch, 11-inch, and 14-inch variants."
Kuzma,4Point 11-inch,4Point,standalone-upgrade,primary,hydrated,official product page,Exact 11 inch 4Point variant from official page/manual set.
Kuzma,4Point 14-inch,4Point,standalone-upgrade,primary,hydrated,official product page,Exact 14 inch 4Point variant from official page/brochure.
Kuzma,4Point 9-inch,4Point,standalone-upgrade,primary,hydrated,official product page,Exact 9 inch 4Point variant from official page.
Kuzma,Air Line,Air Line,standalone-upgrade,primary,superseded,official manuals,Replaced by exact Air Line 7-inch variant.
Kuzma,Air Line 7-inch,Air Line,standalone-upgrade,primary,hydrated,official product page,Exact Air Line variant from official page.
Kuzma,Safir 9,Safir,standalone-upgrade,primary,hydrated,stereophile review / official page,Stereophile 2025 recommended Kuzma flagship sapphire arm.
Kuzma,Stogi Ref 313,Stogi,standalone-upgrade,primary,hydrated,official product page,Exact 12 inch Stogi Ref variant from official page.
Kuzma,Stogi Ref 313 VTA,Stogi,standalone-upgrade,primary,hydrated,official product page,Exact 12 inch Stogi Ref VTA variant from official page.
Kuzma,Stogi Ref 9-inch,Stogi,standalone-upgrade,primary,hydrated,official product page,Exact 9 inch Stogi Ref variant from official page.
Kuzma,Stogi S,Stogi,standalone-upgrade,primary,superseded,official manuals,"Replaced by exact Stogi S 9-inch, 12-inch, and 12-inch VTA variants."
Kuzma,Stogi S 9-inch,Stogi,standalone-upgrade,primary,hydrated,official product page,Exact 9 inch Stogi S variant from official page/brochure.
Origin Live,Alliance,9.5 inch,standalone-upgrade,primary,hydrated,install manual,Origin Live upgrade family target.
Origin Live,Onyx,9.5 inch,standalone-upgrade,primary,hydrated,install manual,Origin Live upgrade family target.
Origin Live,Silver,9.5 inch,standalone-upgrade,primary,hydrated,install manual,Origin Live upgrade family target.
Origin Live,Zephyr,9.5 inch,standalone-upgrade,primary,hydrated,install manual,Origin Live upgrade family target.
Rega,RB250,RB,standalone-upgrade,primary,hydrated,manual / spec page,Common upgrade arm.
Rega,RB300,RB,standalone-upgrade,primary,hydrated,manual / spec page,Common upgrade arm.
Rega,RB330,RB,standalone-upgrade,primary,hydrated,official pdf,Current production priority.
Supatrac,Blackbird,Blackbird,boutique-upgrade,primary,superseded,official manual,"Replaced by exact Blackbird 9-inch, 9.3-inch, 10.5-inch, and 12-inch variants."
Supatrac,Blackbird 10.5-inch,Blackbird,boutique-upgrade,primary,hydrated,official product page,Exact Blackbird size variant from official Supatrac geometry family.
Supatrac,Blackbird 12-inch,Blackbird,boutique-upgrade,primary,hydrated,official product page,Exact Blackbird size variant from official Supatrac geometry family.
Supatrac,Blackbird 9-inch,Blackbird,boutique-upgrade,primary,hydrated,official product page,Exact Blackbird size variant from official Supatrac geometry family.
Supatrac,Blackbird 9.3-inch,Blackbird,boutique-upgrade,primary,hydrated,official product page,Exact Blackbird size variant from official Supatrac geometry family.
Supatrac,Blackbird Farpoint,Blackbird,boutique-upgrade,primary,superseded,official manual,"Replaced by exact Blackbird Farpoint 9-inch, 9.3-inch, 10.5-inch, and 12-inch variants."
Supatrac,Blackbird Farpoint 10.5-inch,Blackbird,boutique-upgrade,primary,hydrated,official manual / site,Exact Blackbird Farpoint size variant from official Supatrac geometry family.
Supatrac,Blackbird Farpoint 12-inch,Blackbird,boutique-upgrade,primary,hydrated,official manual / site,Exact Blackbird Farpoint size variant from official Supatrac geometry family.
Supatrac,Blackbird Farpoint 9-inch,Blackbird,boutique-upgrade,primary,hydrated,official manual / site,Exact Blackbird Farpoint size variant from official Supatrac geometry family.
Supatrac,Blackbird Farpoint 9.3-inch,Blackbird,boutique-upgrade,primary,hydrated,official manual / site,Exact Blackbird Farpoint size variant from official Supatrac geometry family.
Supatrac,Nighthawk,Nighthawk,boutique-upgrade,primary,superseded,official product page,"Replaced by exact Nighthawk 9-inch, 9.3-inch, 10.5-inch, and 12-inch variants."
Supatrac,Nighthawk 10.5-inch,Nighthawk,boutique-upgrade,primary,hydrated,official product page,Exact 10.5 inch Nighthawk variant from official page.
Supatrac,Nighthawk 12-inch,Nighthawk,boutique-upgrade,primary,hydrated,official product page,Exact 12 inch Nighthawk variant from official page.
Supatrac,Nighthawk 9-inch,Nighthawk,boutique-upgrade,primary,hydrated,official product page,Exact 9 inch Nighthawk variant from official page.
Supatrac,Nighthawk 9.3-inch,Nighthawk,boutique-upgrade,primary,hydrated,official product page,Exact 9.3 inch Nighthawk variant from official page.
Tri-Planar,Mk VII,U2,standalone-upgrade,primary,hydrated,official site / reviews,Current flagship-style upgrade arm.
Tri-Planar,U12,U12,standalone-upgrade,primary,hydrated,official site,Current 12 inch Tri-Planar flagship with official geometry.
Tri-Planar,U2 SE,U2,standalone-upgrade,primary,hydrated,official site,Current short-arm family target.
AMG,12JT,12J,boutique-upgrade,secondary,hydrated,official product page,Current flagship 12 inch AMG arm with published geometry.
AMG,9W2,9W,boutique-upgrade,secondary,hydrated,official product page,Current 9 inch AMG arm with published geometry.
Acoustic Signature,TA-5000 NEO,TA-5000,turntable-combo,secondary,hydrated,stereophile review / official page,Stereophile 2025 recommended Acoustic Signature arm.
Acoustic Signature,TA-7000 NEO 12-inch,TA-7000,turntable-combo,secondary,hydrated,stereophile review / official page,Stereophile 2025 recommended 12 inch Acoustic Signature flagship arm.
Acoustic Signature,TA-7000 NEO 9-inch,TA-7000,turntable-combo,secondary,hydrated,stereophile review / official page,Stereophile 2025 recommended 9 inch Acoustic Signature flagship arm.
Acoustic Solid,WTB 213,WTB,boutique-upgrade,secondary,hydrated,official page / distributor specs,Acoustic Solid 9-inch class tonearm target from broad manufacturer-gap follow-up.
Acoustic Solid,WTB 370,WTB,boutique-upgrade,secondary,hydrated,official page / distributor specs,Acoustic Solid premium tonearm target from broad manufacturer-gap follow-up.
