tonearm_spec_id,manufacturer,model_name,field_name,value_num,value_text,unit,raw_value_text,status,confidence,notes,source_name,source_url
385,ADC,ALT-1,effective_length_mm,237.0,,mm,237,parsed,0.6,,BIGLOBE Arm Data,https://www7a.biglobe.ne.jp/~yosh/armdata.htm
1514,ADC,ALT-1,null_alignment_type,,Other,,69.000 / 129.000 mm,derived,0.75,Backfilled from null-point pair proximity to reference alignments; nearest-reference distance 8.638 mm.,BIGLOBE Arm Data,https://www7a.biglobe.ne.jp/~yosh/armdata.htm
389,ADC,ALT-1,null_point_inner_mm,69.0,,mm,69/129,parsed,0.6,,BIGLOBE Arm Data,https://www7a.biglobe.ne.jp/~yosh/armdata.htm
390,ADC,ALT-1,null_point_outer_mm,129.0,,mm,69/129,parsed,0.6,,BIGLOBE Arm Data,https://www7a.biglobe.ne.jp/~yosh/armdata.htm
388,ADC,ALT-1,null_points,,69/129,,69/129,parsed,0.6,,BIGLOBE Arm Data,https://www7a.biglobe.ne.jp/~yosh/armdata.htm
387,ADC,ALT-1,offset_angle_deg,24.6,,deg,24.6,parsed,0.6,,BIGLOBE Arm Data,https://www7a.biglobe.ne.jp/~yosh/armdata.htm
386,ADC,ALT-1,overhang_mm,19.0,,mm,19,parsed,0.6,,BIGLOBE Arm Data,https://www7a.biglobe.ne.jp/~yosh/armdata.htm
2600,ADC,ALT-1,product_lineage,,"ADC ALT-1 is documented by mirrored original-manual support as the low-cost version of the LMF-1 tonearm, fitted with an aluminium arm tube and detachable headshell.",,ALT-1 is low cost version of LMF-1,parsed,0.8,Manual-mirror support for exact model.,ADC ALT-1 Low-Mass Tonearm Manual,https://www.vinylengine.com/library/adc/alt-1.shtml
379,ADC,LMF-1 & LMF-2,effective_length_mm,237.0,,mm,237,parsed,0.6,,BIGLOBE Arm Data,https://www7a.biglobe.ne.jp/~yosh/armdata.htm
1513,ADC,LMF-1 & LMF-2,null_alignment_type,,Other,,60.000 / 114.000 mm,derived,0.75,Backfilled from null-point pair proximity to reference alignments; nearest-reference distance 3.435 mm.,BIGLOBE Arm Data,https://www7a.biglobe.ne.jp/~yosh/armdata.htm
383,ADC,LMF-1 & LMF-2,null_point_inner_mm,60.0,,mm,60/114,parsed,0.6,,BIGLOBE Arm Data,https://www7a.biglobe.ne.jp/~yosh/armdata.htm
384,ADC,LMF-1 & LMF-2,null_point_outer_mm,114.0,,mm,60/114,parsed,0.6,,BIGLOBE Arm Data,https://www7a.biglobe.ne.jp/~yosh/armdata.htm
382,ADC,LMF-1 & LMF-2,null_points,,60/114,,60/114,parsed,0.6,,BIGLOBE Arm Data,https://www7a.biglobe.ne.jp/~yosh/armdata.htm
381,ADC,LMF-1 & LMF-2,offset_angle_deg,21.6,,deg,21.6,parsed,0.6,,BIGLOBE Arm Data,https://www7a.biglobe.ne.jp/~yosh/armdata.htm
380,ADC,LMF-1 & LMF-2,overhang_mm,15.0,,mm,15,parsed,0.6,,BIGLOBE Arm Data,https://www7a.biglobe.ne.jp/~yosh/armdata.htm
2601,ADC,LMF-1 & LMF-2,product_lineage,,Original ADC manufacturer advertisement introduces the LMF carbon fiber tonearms and explicitly distinguishes LMF-1 and LMF-2 variants within the same low-mass family.,,ADC LMF carbon fiber tonearms advertisement,parsed,0.75,Manufacturer-advertisement support for grouped exact models.,"ADC TONEARMS (Advertisement, Sept. 1978)",https://www.gammaelectronics.xyz/audio_09-1978_adc.html
2602,ADC,LMF-1 & LMF-2,product_lineage,,Official Luxman armboard fitment list includes ADC LMF-1 and LMF-2 together as compatible tonearms for the PD310 platform.,,PD310 armboard list includes LMF-1 and LMF-2,parsed,0.7,Official third-party historical support for grouped exact models.,LUXMAN PD310の仕様 ラックスマン,https://audio-heritage.jp/LUXMAN/player/pd310.html
1134,AMG,12JT,arm_mount,,20 mm bushing / 25 mm Viella / 30 mm Viella Forte / 30-48 mm screw circle,,20 mm without adapter socket; 25 mm AMG Viella; 30 mm AMG Viella Forte; 30/48 mm screw circle,parsed,0.9,,AMG 12JT official product page,https://analog-manufaktur-germany.de/en/tonearms/12jt/
1126,AMG,12JT,effective_length_mm,304.8,,mm,304.8 mm,parsed,0.95,,AMG 12JT official product page,https://analog-manufaktur-germany.de/en/tonearms/12jt/
1130,AMG,12JT,effective_mass_g,12.2,,g,12.2 g,parsed,0.95,,AMG 12JT official product page,https://analog-manufaktur-germany.de/en/tonearms/12jt/
1127,AMG,12JT,mounting_distance_mm,291.4,,mm,291.4 mm,parsed,0.95,,AMG 12JT official product page,https://analog-manufaktur-germany.de/en/tonearms/12jt/
1636,AMG,12JT,null_alignment_type,,Baewald,,66.040 / 120.900 mm,derived,0.9,Backfilled from null-point pair proximity to reference alignments; nearest-reference distance 0.040 mm.,AMG 12JT official product page,https://analog-manufaktur-germany.de/en/tonearms/12jt/
1132,AMG,12JT,null_point_inner_mm,66.04,,mm,66.04 mm,parsed,0.95,,AMG 12JT official product page,https://analog-manufaktur-germany.de/en/tonearms/12jt/
1133,AMG,12JT,null_point_outer_mm,120.9,,mm,120.9 mm,parsed,0.95,,AMG 12JT official product page,https://analog-manufaktur-germany.de/en/tonearms/12jt/
1131,AMG,12JT,null_points,,66.04 / 120.9,,66.04 mm / 120.9 mm,parsed,0.95,,AMG 12JT official product page,https://analog-manufaktur-germany.de/en/tonearms/12jt/
1129,AMG,12JT,offset_angle_deg,17.89,,deg,17.89 degrees,parsed,0.95,,AMG 12JT official product page,https://analog-manufaktur-germany.de/en/tonearms/12jt/
1128,AMG,12JT,overhang_mm,13.4,,mm,13.4 mm,parsed,0.95,,AMG 12JT official product page,https://analog-manufaktur-germany.de/en/tonearms/12jt/
1125,AMG,9W2,arm_mount,,20 mm bushing / 25 mm Viella / 30 mm Viella Forte / 30-48 mm screw circle,,20 mm without adapter socket; 25 mm AMG Viella; 30 mm AMG Viella Forte; 30/48 mm screw circle,parsed,0.9,,AMG 9W2 official product page,https://analog-manufaktur-germany.de/en/tonearms/9w2/
1117,AMG,9W2,effective_length_mm,229.0,,mm,229 mm,parsed,0.95,,AMG 9W2 official product page,https://analog-manufaktur-germany.de/en/tonearms/9w2/
1121,AMG,9W2,effective_mass_g,9.1,,g,9.1 g,parsed,0.95,,AMG 9W2 official product page,https://analog-manufaktur-germany.de/en/tonearms/9w2/
1118,AMG,9W2,mounting_distance_mm,211.0,,mm,211 mm,parsed,0.95,,AMG 9W2 official product page,https://analog-manufaktur-germany.de/en/tonearms/9w2/
1635,AMG,9W2,null_alignment_type,,Baewald,,66.040 / 120.900 mm,derived,0.9,Backfilled from null-point pair proximity to reference alignments; nearest-reference distance 0.040 mm.,AMG 9W2 official product page,https://analog-manufaktur-germany.de/en/tonearms/9w2/
1123,AMG,9W2,null_point_inner_mm,66.04,,mm,66.04 mm,parsed,0.95,,AMG 9W2 official product page,https://analog-manufaktur-germany.de/en/tonearms/9w2/
1124,AMG,9W2,null_point_outer_mm,120.9,,mm,120.9 mm,parsed,0.95,,AMG 9W2 official product page,https://analog-manufaktur-germany.de/en/tonearms/9w2/
1122,AMG,9W2,null_points,,66.04 / 120.9,,66.04 mm / 120.9 mm,parsed,0.95,,AMG 9W2 official product page,https://analog-manufaktur-germany.de/en/tonearms/9w2/
1120,AMG,9W2,offset_angle_deg,24.07,,deg,24.07 degrees,parsed,0.95,,AMG 9W2 official product page,https://analog-manufaktur-germany.de/en/tonearms/9w2/
1119,AMG,9W2,overhang_mm,18.1,,mm,18.1 mm,parsed,0.95,,AMG 9W2 official product page,https://analog-manufaktur-germany.de/en/tonearms/9w2/
2282,Acoustic Signature,TA-5000 NEO,arm_size,,9-inch,,Available sizes: 9-inch,parsed,0.9,,Acoustic Signature TA-5000 NEO official page,https://www.acoustic-signature.com/products/tonearms/ta-5000-neo/
2295,Acoustic Signature,TA-5000 NEO,arm_size,,12-inch,,Available sizes: 12-inch,parsed,0.9,,Acoustic Signature TA-5000 NEO official page,https://www.acoustic-signature.com/products/tonearms/ta-5000-neo/
2292,Acoustic Signature,TA-5000 NEO,arm_tube_material,,triple-layer carbon,,Armtube: Triple-layer carbon,parsed,0.9,,Acoustic Signature TA-5000 NEO official page,https://www.acoustic-signature.com/products/tonearms/ta-5000-neo/
2305,Acoustic Signature,TA-5000 NEO,arm_tube_material,,triple-layer carbon,,Armtube: Triple-layer carbon,parsed,0.9,,Acoustic Signature TA-5000 NEO official page,https://www.acoustic-signature.com/products/tonearms/ta-5000-neo/
2294,Acoustic Signature,TA-5000 NEO,bearing_type,,pre-tensioned hybrid ball bearings,,high-precision hybrid ball bearings made of ceramic and stainless steel,parsed,0.9,,Acoustic Signature TA-5000 NEO official page,https://www.acoustic-signature.com/products/tonearms/ta-5000-neo/
2307,Acoustic Signature,TA-5000 NEO,bearing_type,,pre-tensioned hybrid ball bearings,,high-precision hybrid ball bearings made of ceramic and stainless steel,parsed,0.9,,Acoustic Signature TA-5000 NEO official page,https://www.acoustic-signature.com/products/tonearms/ta-5000-neo/
2290,Acoustic Signature,TA-5000 NEO,cartridge_range_high_g,16.0,,g,Cartridge balance range: 6 to 16 g,parsed,0.9,,Acoustic Signature TA-5000 NEO official page,https://www.acoustic-signature.com/products/tonearms/ta-5000-neo/
2303,Acoustic Signature,TA-5000 NEO,cartridge_range_high_g,16.0,,g,Cartridge balance range: 6 to 16 g,parsed,0.9,,Acoustic Signature TA-5000 NEO official page,https://www.acoustic-signature.com/products/tonearms/ta-5000-neo/
2289,Acoustic Signature,TA-5000 NEO,cartridge_range_low_g,6.0,,g,Cartridge balance range: 6 to 16 g,parsed,0.9,,Acoustic Signature TA-5000 NEO official page,https://www.acoustic-signature.com/products/tonearms/ta-5000-neo/
2302,Acoustic Signature,TA-5000 NEO,cartridge_range_low_g,6.0,,g,Cartridge balance range: 6 to 16 g,parsed,0.9,,Acoustic Signature TA-5000 NEO official page,https://www.acoustic-signature.com/products/tonearms/ta-5000-neo/
2284,Acoustic Signature,TA-5000 NEO,effective_length_mm,239.3,,mm,Effective length: 239.3 mm,parsed,0.9,,Acoustic Signature TA-5000 NEO official page,https://www.acoustic-signature.com/products/tonearms/ta-5000-neo/
2297,Acoustic Signature,TA-5000 NEO,effective_length_mm,309.0,,mm,Effective length: 309 mm,parsed,0.9,,Acoustic Signature TA-5000 NEO official page,https://www.acoustic-signature.com/products/tonearms/ta-5000-neo/
2287,Acoustic Signature,TA-5000 NEO,effective_mass_g,12.4,,g,Effective mass: 12.4 g,parsed,0.9,,Acoustic Signature TA-5000 NEO official page,https://www.acoustic-signature.com/products/tonearms/ta-5000-neo/
2300,Acoustic Signature,TA-5000 NEO,effective_mass_g,14.4,,g,Effective mass: 14.4 g,parsed,0.9,,Acoustic Signature TA-5000 NEO official page,https://www.acoustic-signature.com/products/tonearms/ta-5000-neo/
2283,Acoustic Signature,TA-5000 NEO,length_mm,289.0,,mm,Length: 289 mm,parsed,0.9,,Acoustic Signature TA-5000 NEO official page,https://www.acoustic-signature.com/products/tonearms/ta-5000-neo/
2296,Acoustic Signature,TA-5000 NEO,length_mm,362.0,,mm,Length: 362 mm,parsed,0.9,,Acoustic Signature TA-5000 NEO official page,https://www.acoustic-signature.com/products/tonearms/ta-5000-neo/
2285,Acoustic Signature,TA-5000 NEO,mounting_distance_mm,222.0,,mm,Mounting distance: 222 mm,parsed,0.9,,Acoustic Signature TA-5000 NEO official page,https://www.acoustic-signature.com/products/tonearms/ta-5000-neo/
2298,Acoustic Signature,TA-5000 NEO,mounting_distance_mm,295.8,,mm,Mounting distance: 295.8 mm,parsed,0.9,,Acoustic Signature TA-5000 NEO official page,https://www.acoustic-signature.com/products/tonearms/ta-5000-neo/
2291,Acoustic Signature,TA-5000 NEO,mounting_type,,SME style,,Mounting: SME style,parsed,0.9,,Acoustic Signature TA-5000 NEO official page,https://www.acoustic-signature.com/products/tonearms/ta-5000-neo/
2304,Acoustic Signature,TA-5000 NEO,mounting_type,,SME style,,Mounting: SME style,parsed,0.9,,Acoustic Signature TA-5000 NEO official page,https://www.acoustic-signature.com/products/tonearms/ta-5000-neo/
2370,Acoustic Signature,TA-5000 NEO,null_alignment_type,,Unknown,,Unknown,derived,0.4,Defaulted because the current source set does not explicitly specify a null alignment family.,Acoustic Signature TA-5000 NEO official page,https://www.acoustic-signature.com/products/tonearms/ta-5000-neo/
2293,Acoustic Signature,TA-5000 NEO,output_cable,,Atlas Equator phono cable; 5-pin to RCA/ground,,Phono cable: Atlas Equator phono cable; Connectors: 5-pin to RCA/ground connector,parsed,0.9,,Acoustic Signature TA-5000 NEO official page,https://www.acoustic-signature.com/products/tonearms/ta-5000-neo/
2306,Acoustic Signature,TA-5000 NEO,output_cable,,Atlas Equator phono cable; 5-pin to RCA/ground,,Phono cable: Atlas Equator phono cable; Connectors: 5-pin to RCA/ground connector,parsed,0.9,,Acoustic Signature TA-5000 NEO official page,https://www.acoustic-signature.com/products/tonearms/ta-5000-neo/
2288,Acoustic Signature,TA-5000 NEO,overhang_mm,17.3,,mm,Overhang: 17.3 mm,parsed,0.9,,Acoustic Signature TA-5000 NEO official page,https://www.acoustic-signature.com/products/tonearms/ta-5000-neo/
2301,Acoustic Signature,TA-5000 NEO,overhang_mm,13.2,,mm,Overhang: 13.2 mm,parsed,0.9,,Acoustic Signature TA-5000 NEO official page,https://www.acoustic-signature.com/products/tonearms/ta-5000-neo/
2286,Acoustic Signature,TA-5000 NEO,total_weight_g,573.0,,g,Total weight: 573 g,parsed,0.9,,Acoustic Signature TA-5000 NEO official page,https://www.acoustic-signature.com/products/tonearms/ta-5000-neo/
2299,Acoustic Signature,TA-5000 NEO,total_weight_g,687.0,,g,Total weight: 687 g,parsed,0.9,,Acoustic Signature TA-5000 NEO official page,https://www.acoustic-signature.com/products/tonearms/ta-5000-neo/
2322,Acoustic Signature,TA-7000 NEO 12-inch,arm_size,,12-inch,,Available sizes: 12-inch,parsed,0.9,,Acoustic Signature TA-7000 NEO official page,https://www.acoustic-signature.com/products/tonearms/ta-7000-neo/
2333,Acoustic Signature,TA-7000 NEO 12-inch,arm_tube_material,,3D-damped carbon armtube,,Armtube: 3D-damped carbon armtube,parsed,0.9,,Acoustic Signature TA-7000 NEO official page,https://www.acoustic-signature.com/products/tonearms/ta-7000-neo/
2335,Acoustic Signature,TA-7000 NEO 12-inch,bearing_type,,pre-tensioned high-precision ball bearings,,pre-tensioned high-precision ball bearings,parsed,0.9,,Acoustic Signature TA-7000 NEO official page,https://www.acoustic-signature.com/products/tonearms/ta-7000-neo/
2331,Acoustic Signature,TA-7000 NEO 12-inch,cartridge_range_high_g,16.0,,g,Cartridge balance range: 6 to 16 g,parsed,0.9,,Acoustic Signature TA-7000 NEO official page,https://www.acoustic-signature.com/products/tonearms/ta-7000-neo/
2330,Acoustic Signature,TA-7000 NEO 12-inch,cartridge_range_low_g,6.0,,g,Cartridge balance range: 6 to 16 g,parsed,0.9,,Acoustic Signature TA-7000 NEO official page,https://www.acoustic-signature.com/products/tonearms/ta-7000-neo/
2324,Acoustic Signature,TA-7000 NEO 12-inch,effective_length_mm,309.0,,mm,Effective length: 309 mm,parsed,0.9,,Acoustic Signature TA-7000 NEO official page,https://www.acoustic-signature.com/products/tonearms/ta-7000-neo/
