source_manufacturer,canonical_manufacturer,model_name,effective_length_raw,effective_length_source,mounting_distance_raw,mounting_distance_source,workbook_notes,action,reason
Acoustic Signature,Acoustic Signature,"12"" arms",308.8,website,295.6,manufacturer spec doc.,multiple arms same dimensions,skipped,already_in_research_targets
Acoustic Signature,Acoustic Signature,"9"" arms",239.3,website,222,manufacturer spec doc.,multiple arms same dimensions,skipped,already_in_research_targets
Acoustical Systems,Acoustical Systems,"Axiom 12""",300,,,,,skipped,already_in_research_targets
Acoustical Systems,Acoustical Systems,Titan Grand Complication,,,,,,skipped,already_in_research_targets
Acoustical Systems,Acoustical Systems,Aquilar 10,,,,,,skipped,already_in_research_targets
AMG,AMG,12J2 & 12JT,305,manual,291.4,manual,"agreed, but their eff len is Leofgren",skipped,already_in_research_targets
AMG,AMG,9W2 & 9WT,229,website,211,website,agreed,skipped,already_in_research_targets
Audio Origami,Audio Origami,PU7,229,Audio Origami Customer,210.427,Audio Origami Customer,Agreed,skipped,already_in_tonearm_models
B&O,B&O,"ST/p 12""",322,calculated,310,B&O website,,skipped,already_in_research_targets
Basis,Basis Audio,Vector 4,239.3,email from Alex at Basis,221.7,calculated,Joe Fagan measured PS at 223mm on his Basis table/tonearm,skipped,already_in_tonearm_models
Breuer Dynamic,Breuer,7,248,MY CALCULATION,231.36,MY CALCULATION,My calcs,skipped,already_in_research_targets
Breuer Dynamic,Breuer,"5A, B & C",222,Breuer brochure,208,Breuer brochure,Disagree!!!,skipped,already_in_research_targets
Breuer Dynamic,Breuer,6A,262,Breuer brochure,244.8,Breuer brochure,Disagree!!!,skipped,already_in_research_targets
Brinkmann,Brinkmann,10,258,Brinkmann website,243,Brinkmann website,DO NOT AGREE,skipped,already_in_research_targets
Brinkmann,Brinkmann,10.5,259.8,Brinkmann website,244,Brinkmann website,DO NOT AGREE,skipped,already_in_tonearm_models
Brinkmann,Brinkmann,12,NEED!,Brinkmann website,291,Brinkmann website,DO NOT AGREE,skipped,already_in_research_targets
Brinkmann,Brinkmann,12.1,305,Brinkmann website,292,Brinkmann website,Do not agree. He is probably trying to get to Loefgren and errs due to rounding error by ~0.2mm,skipped,already_in_research_targets
Clearaudio,Clearaudio,Clarify,239.3,Clearaudio website,222,Clearaudio website,"Agreed, but their claimed offset angle of 25.54 is way off from 22.99",skipped,already_in_tonearm_models
Clearaudio,Clearaudio,Concept,239.3,Musical Surroundings website,222,Musical Surroundings website,,skipped,already_in_tonearm_models
Clearaudio,Clearaudio,Magnify,239.3,Clearaudio website,222,Clearaudio website,"Agreed, but their claimed offset angle of 25.54 is way off from 22.99",skipped,already_in_tonearm_models
Clearaudio,Clearaudio,Satisfy Kardan,239.3,Clearaudio website,222,Clearaudio website,"Agreed, but their claimed offset angle of 25.54 is way off from 22.99",skipped,already_in_tonearm_models
Clearaudio,Clearaudio,Tracer,unavailable,,unavailable,,,skipped,already_in_tonearm_models
Clearaudio,Clearaudio,"Unify 10""",265.5,Clearaudio website,249.97,Clearaudio website,agreed,skipped,already_in_tonearm_models
Clearaudio,Clearaudio,"Unify 12""",317,Clearaudio website,304,Clearaudio website,agreed,skipped,already_in_tonearm_models
Clearaudio,Clearaudio,"Unify 14""",NEED!,Clearaudio website,327,Clearaudio website,close enough NEED ARC ON WT,skipped,already_in_tonearm_models
Clearaudio,Clearaudio,"Unify 9""",239.3,Clearaudio website,222,Clearaudio website,"Agreed, but their claimed offset angle of 25.54 is way off from 22.99",skipped,already_in_tonearm_models
Clearaudio,Clearaudio,"Universal 12""",308.8,Clearaudio website,295,Clearaudio website,close enough,skipped,already_in_tonearm_models
Clearaudio,Clearaudio,"Universal 9""",239.3,Clearaudio website,222,Clearaudio website,"Agreed, but their claimed offset angle of 25.54 is way off from 22.99",skipped,already_in_tonearm_models
Clearaudio,Clearaudio,Verify,239.3,Clearaudio website,222,Clearaudio website,"Agreed, but their claimed offset angle of 25.54 is way off from 22.99",skipped,already_in_tonearm_models
DaVinci,DaVinci,Virtu,308.8,DaVinci Website,295.6,DaVinci Website,agreed,skipped,already_in_research_targets
Dual,Dual,721,222,Dual manual,,calculated,,skipped,filtered_non_tonearm_row
Durand,Durand,Kairos,263,Durand website,247.37,Durand website,agreed,skipped,already_in_research_targets
Durand,Durand,Talea,263,Durand website,247.37,Durand website,agreed,skipped,already_in_tonearm_models
Durand,Durand,Telos,305,Durand website,291.63,Durand website,agreed,skipped,already_in_research_targets
Durand,Durand,Tosca,263,Durand website,247.37,Durand website,agreed,skipped,already_in_tonearm_models
Dynavector,Dynavector,DV-507Mkii,240,Dynavector Website,226,Dynavector Website,I will not support JIS standards. P2S should be 223.8mm,skipped,already_in_research_targets
Dynavector,Dynavector,DV-505,240,Dynavector Website,226,Dynavector Website,I will not support JIS standards. P2S should be 223.8mm,skipped,already_in_research_targets
Dynavector,Dynavector,DV-505,240,Dynavector Website,226,Dynavector Website,I will not support JIS standards. P2S should be 223.8mm,skipped,duplicate_in_workbook
Funk Firm,Funk Firm,F5 II,239.3,Funk Firm website,222,Funk Firm website,Agreed,skipped,already_in_research_targets
Funk Firm,Funk Firm,"F5 12""",,,,Funk Firm website,,skipped,already_in_research_targets
Funk Firm,Funk Firm,FXR-2,,,,,,skipped,already_in_research_targets
Funk Firm,Funk Firm,FX3,239.3,Funk Firm website,222.9,Funk Firm website,Do NOT agree,skipped,already_in_research_targets
Funk Firm,Funk Firm,FX3D,239.3,Funk Firm website,222.9,Funk Firm website,Do NOT agree,skipped,already_in_research_targets
Funk Firm,Funk Firm,F7,,,,,,skipped,already_in_research_targets
Funk Firm,Funk Firm,FX1200,,,,,,skipped,already_in_research_targets
Glanz,Glanz,MH-9B,229,Glanz website,214,Glanz website,"I do NOT agree with Glanz numbers. They are using 15mm overhang for both 9"" and 10"" arms",skipped,already_in_tonearm_models
Glanz,Glanz,MH-10B,254,Glanz website,239,Glanz website,"I do NOT agree with Glanz numbers. They are using 15mm overhang for both 9"" and 10"" arms",skipped,already_in_tonearm_models
Graham,Graham,1.5,235,Wally,,,,skipped,already_in_research_targets
Graham,Graham,"10"" arm wand",247,various web postings,,,saw this at Ron Resnick's place in his Graham manual,skipped,filtered_non_tonearm_row
Graham,Graham,2.x,235,Sterophile review,217.35,calculated,,skipped,already_in_research_targets
Graham,Graham,"Phantom 12""",308.8,,296.x,,Saw diagram from Graham at Jacob Hielbrunn's,skipped,already_in_research_targets
Groovemaster,Groovemaster,"9""",245,Groovemaster website,229,Groovemaster website,Need arc! Agreed - but better to make a 247mm as I've seen a number of arms needing this,skipped,already_in_research_targets
Groovemaster,Groovemaster,"10""",NEED!,Groovemaster website,254,Groovemaster website,Need arc! Agreed,skipped,already_in_research_targets
Groovemaster,Groovemaster,"12""",317,Groovemaster website,304.8,Groovemaster website,agreed,skipped,already_in_research_targets
Helius,Helius,"Omega 10""",254,Omega (according to Damon Best),236,Omega (according to Damon Best),Non-standard! Assumes innermost groove at 65.5,skipped,already_in_research_targets
