Manufacturer,Model,Effective Length,Overhang,Offset Angle,Null Points,Null Alignment Type,Effective Mass,Cartridge Range Low,Cartridge Range High,Arm Mount,Null Point Inner,Null Point Outer,Sources
ADC,ALT-1,237.0,19.0,24.6,69/129,Other,,,,,69.0,129.0,"BIGLOBE Arm Data,ADC ALT-1 Low-Mass Tonearm Manual"
ADC,LMF-1 & LMF-2,237.0,15.0,21.6,60/114,Other,,,,,60.0,114.0,"BIGLOBE Arm Data,ADC TONEARMS (Advertisement, Sept. 1978),LUXMAN PD310の仕様 ラックスマン"
AMG,12JT,304.8,13.4,17.89,66.04 / 120.9,Baewald,12.2,,,20 mm bushing / 25 mm Viella / 30 mm Viella Forte / 30-48 mm screw circle,66.04,120.9,AMG 12JT official product page
AMG,9W2,229.0,18.1,24.07,66.04 / 120.9,Baewald,9.1,,,20 mm bushing / 25 mm Viella / 30 mm Viella Forte / 30-48 mm screw circle,66.04,120.9,AMG 9W2 official product page
Acoustic Signature,TA-5000 NEO,309.0,17.3,,,Unknown,14.4,6.0,16.0,,,,Acoustic Signature TA-5000 NEO official page
Acoustic Signature,TA-7000 NEO 12-inch,309.0,13.2,12.1,,Unknown,13.9,6.0,16.0,,,,Acoustic Signature TA-7000 NEO official page
Acoustic Signature,TA-7000 NEO 9-inch,239.3,17.3,23.9,,Other,10.2,6.0,16.0,,,,Acoustic Signature TA-7000 NEO official page
Acoustic Solid,WTB 213,233.75,17.75,23.5,,Baewald,,,,,,,"Kronos AV Acoustic Solid WTB213 Carbon Tonearm page,Acoustic Solid WTB 213 9 official product page"
Acoustic Solid,WTB 313 12-inch,302.9,15.9,17.3,,Unknown,,,,,,,"Kronos AV Acoustic Solid 313 12-inch tonearm page,Acoustic Solid tonearms category page"
Acoustic Solid,WTB 370,,,,,Unknown,,,,,,,"Electronic Depot Acoustic Solid Metal 111 / WTB 370 page,Vinyl Sound Acoustic Solid Solid 111 Metal page,Vinyl Sound Acoustic Solid Solid 311 Metal page,Acoustic Solid Solid Edition official product page,Acoustic Solid Solid Machine official product page"
Acoustical Systems,AQUILAR Reference 10-inch,250.0,,,,Baewald,11.4,5.2,30.0,,,,"Acoustical Systems AQUILAR official page,Acoustical Systems AQUILAR owner manual"
Acoustical Systems,AXIOM Reference 12-inch,,,,,Unknown,22.0,,,,,,"Acoustical Systems AXIOM features page,Acoustical Systems AXIOM official pages"
Air Tangent,2B,,,,,Unknown,,,,,,,"AIRTANGENT 2B,Hi-Fi Choice 1987 Airtangent/Oracle Delphi review,Airtangent 2002MKII product page archive"
Air Tangent,Model 2002,,,,,Unknown,,,,,,,"Airtangent official website archive,Airtangent tonearm Specifications"
Air Tangent,Reference,,,,,Unknown,,,,,,,"Airtangent official website archive,Airtangent tonearm Specifications"
Alphason,HR-100MCS,,,,,Unknown,,,,,,,Alphason Designs HR100S Gimbal Bearing Tonearm Manual
Alphason,HR-100S,,,,,Unknown,,,,,,,"Alphason Designs HR100S Gimbal Bearing Tonearm Manual,About Us - Alphason Audio"
Alphason,Opal/Delta/Xenon/HR100S,229.0,18.0,24.0,66/121,Baewald,,,,,66.0,121.0,"BIGLOBE Arm Data,About Us - Alphason Audio,Alphason Designs Xenon Gimbal Bearing Tonearm Manual"
Audio Craft,AC-30/300/3000/3300,237.0,15.0,21.5,61/113 (57/120),Other,,,,,61.0,113.0,"BIGLOBE Arm Data,AUDIO CRAFT AC-300C/AC-400C,Audiocraft - Ultracraft AC-3000,AUDIO CRAFT AR-110L"
Audio Craft,AC-400/4000/4400,283.0,13.0,18.5,60/119 (78/92),Other,,,,,60.0,119.0,"BIGLOBE Arm Data,AUDIO CRAFT AC-300C/AC-400C,Audiocraft - Ultracraft AC-4000,AUDIO CRAFT AR-110L"
Audio Creative,Groovemaster 4,,,,,Unknown,,,,,,,"The Ear Groovemaster 4 review,Audio Creative Shop GrooveMaster 3 page"
Audio Note,Arm One/II,,,,,Unknown,,,,classic single-hole Rega mounting,,,Audio Note Arm One/II official page
Audio Note,Arm Three/II,,,,,Unknown,,,,classic single-hole Rega mounting,,,Audio Note Arm Three/II official page
Audio Origami,PU7,,,,,Unknown,,,,,,,Audio Origami PU7 GTS official page
Audio-Technica,AT-1001/1005II/1007/1009,240.0,15.0,21.5,60/116,Stevenson,,,,,60.0,116.0,"hifi-wiki Audio-Technica AT exact-model pages,BIGLOBE Arm Data,Audio-Technica tonearm brochure scan (AT-1001/1005II/1007/AT-1500 series)"
Audio-Technica,AT-1005 II,240.0,15.0,22.0,,Other,,,,,,,"hifi-wiki Audio-Technica exact model page,Audio-Technica AT-1005 II brochure scan"
Audio-Technica,AT-1007,240.0,15.0,22.0,,Other,,,,,,,"hifi-wiki Audio-Technica exact model page,Audio-Technica AT-1007 brochure scan"
Audio-Technica,AT-1009,240.0,15.0,21.5,,Other,,,,,,,"hifi-wiki Audio-Technica exact model page,Audio-Technica AT-1009 brochure scan"
Audio-Technica,AT-1100,240.0,15.0,21.5,,Other,,,,,,,"hifi-wiki Audio-Technica exact model page,Audio-Technica AT-1100 brochure scan"
Audio-Technica,AT-1100/1010/1120,240.0,15.0,21.5,60/116,Stevenson,,,,,60.0,116.0,"hifi-wiki Audio-Technica AT exact-model pages,BIGLOBE Arm Data,Audio-Technica AT-1100 brochure scan,Vinyl Engine Audio Technica AT-1010 library,Vinyl Engine Audio Technica AT-1120 library"
Audio-Technica,AT-1501,,,,,Unknown,,,,,,,"hifi-wiki AT series advertisement scan,hifi-wiki Audio Technica Sound Arms,Audio-Technica tonearm brochure scan (AT-1001/1005II/1007/AT-1500 series)"
Audio-Technica,AT-1501II,282.0,12.0,18.0,56/118,Other,,,,,56.0,118.0,"BIGLOBE Arm Data,Audio-Technica tonearm brochure scan (AT-1001/1005II/1007/AT-1500 series)"
Audio-Technica,"AT-1501III, IV",285.0,12.0,18.0,56/121,Other,,,,,56.0,121.0,"BIGLOBE Arm Data,Audio-Technica tonearm brochure scan (AT-1001/1005II/1007/AT-1500 series)"
Audio-Technica,AT-1503,,,,,Unknown,,,,,,,"hifi-wiki AT series advertisement scan,hifi-wiki Audio Technica Sound Arms,Audio-Technica tonearm brochure scan (AT-1001/1005II/1007/AT-1500 series)"
Audio-Technica,AT-1503II,254.0,15.0,21.0,61/121,Other,,,,,61.0,121.0,"BIGLOBE Arm Data,Audio-Technica tonearm brochure scan (AT-1001/1005II/1007/AT-1500 series)"
Audio-Technica,"AT-1503III, IV, IIIa",257.0,15.0,21.0,61/124,Other,,,,,61.0,124.0,"BIGLOBE Arm Data,Audio-Technica corporate history page for AT1503IIIa"
AudioQuest,PT-6/7/8/9,229.0,18.0,24.0,66/121,Baewald,,,,,66.0,121.0,"BIGLOBE Arm Data,Audioquest PT6 Japanese Manufactured Tonearm Manual,Audioquest PT7 High Quality Japanese Made Tonearm Manual,AUDIOQUEST PT-9 EXTREME USER MANUAL"
Audiomods,Series Six 10.5-inch,254.0,15.0,21.0,,Other,,,,,,,Audiomods Series Six dimensions PDF
Audiomods,Series Six 9-inch Linn,229.0,18.0,24.0,,Baewald,,,,Linn fitting,,,Audiomods Series Six dimensions PDF
Audiomods,Series Six 9-inch Rega,239.0,17.3,23.0,,Other,,,,Rega fitting,,,Audiomods Series Six dimensions PDF
Avid,Nexus,,,,,Unknown,,,,,,,AVID Nexus official page
Azden,PU-402 (SYNTEC S-220),220.0,15.0,22.0,62/103,Other,,,,,62.0,103.0,"BIGLOBE Arm Data,Vinyl Engine Syntec S-220 library,Vinyl Engine Japan Piezo PU-402 library"
Azden,PU-547 & PU-550,237.0,15.0,21.5,61/113,Other,,,,,61.0,113.0,"BIGLOBE Arm Data,Vinyl Engine Azden library"
Azden,PU-549,244.0,15.0,21.0,64/111,Other,,,,,64.0,111.0,"BIGLOBE Arm Data,Vinyl Engine Azden library"
Basis Audio,Vector 4,239.0,17.0,,,Unknown,,,,Basis mount; optional flange for non-Basis turntables,,,Basis Audio Vector 4 official product page
Belcanto,"Unipivot 10""",243.0,16.0,21.75,66/114,Other,,,,,66.0,114.0,"BIGLOBE Arm Data,Belcanto Manuals | Vinyl Engine"
Belcanto,"Unipivot 12""",307.0,14.0,18.35,66/127,Other,,,,,66.0,127.0,"BIGLOBE Arm Data,Belcanto Manuals | Vinyl Engine"
Breuer,Type 5A,228.0,20.0,25.5,68/128,Other,,,,,68.0,128.0,"BIGLOBE Arm Data,Library | Vinyl Engine,The Breuer Dynamic Type 5A pickup arm."
Breuer,Type 6A,262.0,17.2,22.0,68/128,Other,,,,,68.0,128.0,"BIGLOBE Arm Data,Library | Vinyl Engine,The Breuer Dynamic Type 5A pickup arm."
