source_name,mapped_name,status,matched_current_names,in_manufacturers,in_research_queue
Abis,Sorane,present,Sorane,1,1
Acos,Acos,missing,,0,0
Acoustic Research,Acoustic Research,missing,,0,0
Acoustic Signature,Acoustic Signature,present,Acoustic Signature,0,1
Acoustic Solid,Acoustic Solid,present,Acoustic Solid,0,1
Acoustical Systems,Acoustical Systems,present,Acoustical Systems,0,1
ADC,ADC,present,ADC,1,1
Air tangent,Air tangent,present,Air Tangent,0,1
Aiwa,Aiwa,missing,,0,0
Akai,Akai,missing,,0,0
Alphason Designs,Alphason Designs,present,Alphason Designs,0,1
AMG,AMG,present,AMG,1,1
Analogschmiede,Analogschmiede,missing,,0,0
Argonne,Argonne,missing,,0,0
Ariston,Ariston,missing,,0,0
Astatic,Astatic,missing,,0,0
Audax,Audax,missing,,0,0
Audio Creative,Audio Creative,present,Audio Creative,0,1
Audio Innovations,Audio Innovations,missing,,0,0
Audio Note,Audio Note,present,Audio Note,0,1
Audio Technica,Audio-Technica,present,Audio-Technica,1,1
Audiocraft - Ultracraft,Audiocraft - Ultracraft,missing,,0,0
Audiomeca - Pierre Lurne,Audiomeca - Pierre Lurne,missing,,0,0
Audiomods,Audiomods,present,Audiomods,1,1
Audioquest,AudioQuest,present,AudioQuest,1,1
AWA,AWA,missing,,0,0
Azden,Azden,present,Azden,1,1
Bang and Olufsen,Bang and Olufsen,missing,,0,0
Barthe,Barthe,missing,,0,0
BBC,BBC,missing,,0,0
Belcanto,Belcanto,present,Belcanto,1,1
Belldream,Belldream,missing,,0,0
Bluenote,Bluenote,missing,,0,0
Breuer Dynamic,Breuer Dynamic,missing,,0,0
Brinkman,Brinkmann,present,Brinkmann,1,1
Brinkmann,Brinkmann,present,Brinkmann,1,1
Broadcast Electronics,Broadcast Electronics,missing,,0,0
Brush,Brush,missing,,0,0
BSR,BSR,missing,,0,0
Cantano,Cantano,missing,,0,0
Castagna,Castagna,missing,,0,0
CEC,CEC,missing,,0,0
Clearaudio,Clearaudio,present,Clearaudio,1,1
Connoisseur,Connoisseur,missing,,0,0
Consonance,Consonance,missing,,0,0
Continuum Audio,Continuum Audio,missing,,0,0
CS Port,CS Port,missing,,0,0
Da Vinci Audio Labs,Da Vinci Audio Labs,missing,,0,0
De Baer,De Baer,missing,,0,0
Decca,Decca,present,Decca,1,1
Denon,Denon,present,Denon,1,1
Design Build Listen,Design Build Listen,missing,,0,0
Dual,Dual,missing,,0,0
Durand,Durand,present,Durand,0,1
Dynavector,Dynavector,present,Dynavector,1,1
EAT,EAT,missing,,0,0
EMI,EMI,missing,,0,0
Eminent Technology,Eminent Technology,missing,,0,0
Empire,Empire,present,Empire,1,1
EMT,EMT,present,EMT,1,1
ERA,ERA,missing,,0,0
ESL,ESL,missing,,0,0
Esoteric,Esoteric,missing,,0,0
Excel Sound Corporation,Excel Sound Corporation,missing,,0,0
Feickert,Dr. Feickert,present,Dr. Feickert,1,1
Ferguson,Ferguson,missing,,0,0
Fidelity Research,Fidelity Research,present,Fidelity Research,1,1
Fisher,Fisher,missing,,0,0
Garrard,Garrard,missing,,0,0
Gemini,Gemini,missing,,0,0
General Electric,General Electric,missing,,0,0
Glanz,Glanz,present,Glanz,1,1
Gold Note,Gold Note,present,Gold Note,1,1
Goldmund,Goldmund,present,Goldmund,0,1
Goldring,Goldring,missing,,0,0
Grace,Grace,present,Grace,1,1
Grado,Grado,missing,,0,0
Graham,Graham,present,Graham,1,1
Gray Research,Gray Research,missing,,0,0
Grundig,Grundig,missing,,0,0
Guya,Guya,present,Guya,1,1
Hadcock,Hadcock,present,Hadcock,1,1
Harman Kardon,Harman Kardon,missing,,0,0
Helius,Helius,present,Helius,1,1
Heybrook,Heybrook,missing,,0,0
Hitachi,Hitachi,missing,,0,0
Horstmann Petter,Horstmann Petter,missing,,0,0
Ikeda,Ikeda,present,Ikeda,1,1
Immedia,Immedia,present,Immedia,1,1
Inertia,Inertia,missing,,0,0
Infinity,Infinity,present,Infinity,1,1
ION Audio,ION Audio,missing,,0,0
J Sikora,J.Sikora,present,J.Sikora,1,1
Japan Piezo,Japan Piezo,missing,,0,0
Jelco,Jelco,present,Jelco,1,1
JH Reproducers,JH Reproducers,missing,,0,0
JML,JML,missing,,0,0
JVC,JVC,missing,,0,0
KAM,KAM,missing,,0,0
Keith Monks,Keith Monks,present,Keith Monks,1,1
Kenwood,Kenwood,missing,,0,0
Kiseki,Kiseki,missing,,0,0
Klaudio,Klaudio,missing,,0,0
Koetsu,Koetsu,missing,,0,0
Korf,Korf,present,Korf,1,1
Koshin,Koshin,present,Koshin,0,1
Kuzma,Kuzma,present,Kuzma,1,1
Kyocera,Kyocera,missing,,0,0
LAD,LAD,missing,,0,0
Lafayette,Lafayette,missing,,0,0
Lenco,Lenco,missing,,0,0
Lepton,Lepton,missing,,0,0
Linn,Linn,present,Linn,1,1
Logic,Logic,present,Logic,1,1
Lustre,Lustre,present,Lustre,1,1
Luxman,Luxman,missing,,0,0
Magnepan,Magnepan,present,Magnepan,1,1
Manticore,Manticore,present,Manticore,1,1
Marantz,Marantz,missing,,0,0
MAS,MAS,missing,,0,0
Mayware,Mayware,present,Mayware,1,1
Mel Audio,Mel Audio,missing,,0,0
Michell,Michell,present,Michell,1,1
Micro Seiki,Micro Seiki,present,Micro Seiki,0,1
Micro-Trak,Micro-Trak,missing,,0,0
Mission,Mission,present,Mission,1,1
Mitsubishi,Mitsubishi,missing,,0,0
Modular Component Systems,Modular Component Systems,missing,,0,0
Moerch,Moerch,present,Moerch,1,1
Moth,Moth,missing,,0,0
Music Hall,Music Hall,present,Music Hall,1,1
Musica Nova,Musica Nova,missing,,0,0
MusicMaster,MusicMaster,missing,,0,0
NAD,NAD,missing,,0,0
Naim,Naim,present,Naim,1,1
NEAT,NEAT,missing,,0,0
Neumann,Neumann,missing,,0,0
Nottingham Analogue,Nottingham Analogue,missing,,0,0
Numark,Numark,missing,,0,0
Odyssey,Odyssey,present,Odyssey,1,1
Omnitronic,Omnitronic,missing,,0,0
Onkyo,Onkyo,missing,,0,0
Oracle,Oracle,missing,,0,0
Origin Live,Origin Live,present,Origin Live,1,1
Ortofon,Ortofon,present,Ortofon,1,1
Panasonic,Panasonic,missing,,0,0
Panta,Panta,missing,,0,0
Perpetuum-Ebner,Perpetuum-Ebner,missing,,0,0
Philips,Philips,missing,,0,0
Pickering,Pickering,missing,,0,0
Pierre Clement,Pierre Clement,missing,,0,0
Pioneer,Pioneer,present,Pioneer,1,1
Pluto,Pluto,missing,,0,0
Pole Star,Pole Star,missing,,0,0
Pro-ject,Pro-Ject,present,Pro-Ject,1,1
Psionic,Psionic,missing,,0,0
PYE,PYE,missing,,0,0
QED,QED,missing,,0,0
Rabco,Rabco,missing,,0,0
Realistic,Realistic,missing,,0,0
Reed,Reed,present,Reed,1,1
Rega,Rega,present,Rega,1,1
Rek-O-Kut,Rek-O-Kut,missing,,0,0
Revolver,Revolver,missing,,0,0
Revox,Revox,missing,,0,0
Roksan,Roksan,present,Roksan,1,1
Rotel,Rotel,missing,,0,0
RS Laboratory,RS-Lab,present,RS-Lab,1,1
SABA,SABA,missing,,0,0
SAEC,Saec,present,Saec,1,1
Sansui,Sansui,missing,,0,0
Sanyo,Sanyo,missing,,0,0
Satin,Satin,present,Satin,1,1
Schroder,Schroeder,present,Schroeder,1,1
Sharp,Sharp,missing,,0,0
Shure,Shure,missing,,0,0
Siemens,Siemens,missing,,0,0
Signet,Signet,missing,,0,0
SME,SME,present,SME,1,1
Sonab,Sonab,missing,,0,0
Sonographe,Sonographe,missing,,0,0
Sonus,Sonus,missing,,0,0
Sony,Sony,present,Sony,1,1
Sound,Sound,present,Sound,1,1
Souther,Souther,missing,,0,0
Sparta,Sparta,missing,,0,0
Stanton,Stanton,missing,,0,0
Stax,Stax,present,Stax,1,1
Strathearn,Strathearn,missing,,0,0
Stromberg Carlson,Stromberg Carlson,missing,,0,0
Sumiko,SUMIKO,present,SUMIKO,1,1
Supex,Supex,present,Supex,1,1
Swissonor,Swissonor,missing,,0,0
Syntec,Syntec,missing,,0,0
Syrinx,Syrinx,present,Syrinx,1,1
Systemdek,Systemdek,missing,,0,0
Taya,Taya,missing,,0,0
Teac,Teac,missing,,0,0
Technics,Technics,present,Technics,1,1
Teksonor,Teksonor,missing,,0,0
Telefunken,Telefunken,missing,,0,0
Tesla,Tesla,missing,,0,0
Thales,Thales,present,Thales,1,1
Thiele,Thiele,missing,,0,0
Thorens,Thorens,present,Thorens,1,1
Tiger-Paw,Tiger-Paw,missing,,0,0
Toho,Toho,missing,,0,0
Tokyo Sound,Tokyo Sound,missing,,0,0
Toshiba,Toshiba,missing,,0,0
Townshend,Townshend,missing,,0,0
Transcriptors,Transcriptors,missing,,0,0
Uher,Uher,missing,,0,0
Vertere,Vertere Acoustics,present,Vertere Acoustics,1,1
Vestax,Vestax,missing,,0,0
ViV Laboratory,ViV Laboratory,present,ViV Laboratory,0,1
VPI Industries,VPI,present,VPI,1,1
Weathers,Weathers,missing,,0,0
Well Tempered,Well Tempered Lab,present,Well Tempered Lab,1,1
Wheaton,Tri-Planar,present,Tri-Planar,1,1
Wilson Benesch,Wilson Benesch,present,Wilson Benesch,1,1
Yamaha,Yamaha,present,Yamaha,1,1
Zeta,Zeta,present,Zeta,1,1
Zorin Audio,Zorin Audio,missing,,0,0
