source_name,mapped_name,status,matched_current_names,in_manufacturers,in_research_queue
Acoustic Solid,Acoustic Solid,present,Acoustic Solid,0,1
Air tangent,Air tangent,present,Air Tangent,0,1
Alphason Designs,Alphason Designs,present,Alphason Designs,0,1
Audio Note,Audio Note,present,Audio Note,0,1
Audiocraft - Ultracraft,Audiocraft - Ultracraft,missing,,0,0
Audiomeca - Pierre Lurne,Audiomeca - Pierre Lurne,missing,,0,0
Breuer Dynamic,Breuer Dynamic,missing,,0,0
Continuum Audio,Continuum Audio,missing,,0,0
CS Port,CS Port,missing,,0,0
Durand,Durand,present,Durand,0,1
Eminent Technology,Eminent Technology,missing,,0,0
Goldmund,Goldmund,present,Goldmund,0,1
Grace,Grace,present,Grace,1,1
Gray Research,Gray Research,missing,,0,0
Hadcock,Hadcock,present,Hadcock,1,1
Helius,Helius,present,Helius,1,1
Immedia,Immedia,present,Immedia,1,1
Infinity,Infinity,present,Infinity,1,1
Klaudio,Klaudio,missing,,0,0
Koshin,Koshin,present,Koshin,0,1
Lustre,Lustre,present,Lustre,1,1
Micro Seiki,Micro Seiki,present,Micro Seiki,0,1
Nottingham Analogue,Nottingham Analogue,missing,,0,0
Oracle,Oracle,missing,,0,0
Perpetuum-Ebner,Perpetuum-Ebner,missing,,0,0
SAEC,Saec,present,Saec,1,1
Souther,Souther,missing,,0,0
Townshend,Townshend,missing,,0,0
Transcriptors,Transcriptors,missing,,0,0
Zeta,Zeta,present,Zeta,1,1
