manufacturer,model,source_name,source_url,source_type,trust_level,local_snapshot_path,source_notes,model_notes,field_name,value_num,value_text,unit,raw_value_text,status,confidence,field_notes
Ortofon,TA-110,Ortofon TA-110 user manual,https://www.manualslib.com/manual/1449246/Ortofon-Ta-110.html,manual_mirror,secondary,,ManualsLib extraction of Ortofon user guide,,effective_length_mm,231.0,,mm,231.0 mm,parsed,0.9,
Ortofon,TA-110,Ortofon TA-110 user manual,https://www.manualslib.com/manual/1449246/Ortofon-Ta-110.html,manual_mirror,secondary,,ManualsLib extraction of Ortofon user guide,,overhang_mm,18.0,,mm,18.0 mm,parsed,0.9,
Ortofon,TA-110,Ortofon TA-110 user manual,https://www.manualslib.com/manual/1449246/Ortofon-Ta-110.html,manual_mirror,secondary,,ManualsLib extraction of Ortofon user guide,,offset_angle_deg,23.9,,deg,23.9 degrees,parsed,0.9,
Ortofon,TA-110,Ortofon TA-110 user manual,https://www.manualslib.com/manual/1449246/Ortofon-Ta-110.html,manual_mirror,secondary,,ManualsLib extraction of Ortofon user guide,,null_points,,66 / 120.9,,66 mm / 120.9 mm,parsed,0.9,
Ortofon,TA-110,Ortofon TA-110 user manual,https://www.manualslib.com/manual/1449246/Ortofon-Ta-110.html,manual_mirror,secondary,,ManualsLib extraction of Ortofon user guide,,null_point_inner_mm,66.0,,mm,66 mm,parsed,0.9,
Ortofon,TA-110,Ortofon TA-110 user manual,https://www.manualslib.com/manual/1449246/Ortofon-Ta-110.html,manual_mirror,secondary,,ManualsLib extraction of Ortofon user guide,,null_point_outer_mm,120.9,,mm,120.9 mm,parsed,0.9,
Ortofon,TA-110,Ortofon TA-110 user manual,https://www.manualslib.com/manual/1449246/Ortofon-Ta-110.html,manual_mirror,secondary,,ManualsLib extraction of Ortofon user guide,,effective_mass_g,3.5,,g,3.5 g without headshell,parsed,0.9,
Ortofon,TA-110,Ortofon TA-110 user manual,https://www.manualslib.com/manual/1449246/Ortofon-Ta-110.html,manual_mirror,secondary,,ManualsLib extraction of Ortofon user guide,,cartridge_range_low_g,5.5,,g,21-28 g total minus supplied 15.5 g headshell,derived,0.6,Derived from stated cartridge+headshell mass window and supplied headshell mass.
Ortofon,TA-110,Ortofon TA-110 user manual,https://www.manualslib.com/manual/1449246/Ortofon-Ta-110.html,manual_mirror,secondary,,ManualsLib extraction of Ortofon user guide,,cartridge_range_high_g,12.5,,g,21-28 g total minus supplied 15.5 g headshell,derived,0.6,Derived from stated cartridge+headshell mass window and supplied headshell mass.
Ortofon,TA-110,Ortofon TA-110 user manual,https://www.manualslib.com/manual/1449246/Ortofon-Ta-110.html,manual_mirror,secondary,,ManualsLib extraction of Ortofon user guide,,mounting_distance_mm,213.0,,mm,213.0 mm,parsed,0.9,
