source_id,source_name,source_url,source_type,trust_level,retrieved_at,local_snapshot_path,notes
1,Rega Planar 10 Turntable,https://www.rega.co.uk/products/planar-10,official_website,official,2026-06-18T04:59:48+00:00,,Official Rega Planar 10 product page.
2,Technics SL-1200G-S official page,https://us.technics.com/products/direct-drive-turntable-system-sl-1200g-s,official_website,official,2026-06-18T04:59:48+00:00,,Official Technics SL-1200G product page for silver finish SKU SL-1200G-S.
3,Thorens TD 124 DD official page,https://www.thorens.com/en/products/thorens-td-124-dd.html,official_website,official,2026-06-18T04:59:48+00:00,,Official Thorens TD 124 DD product page.
4,Linn turntables page,https://www.linn.co.uk/turntables,official_website,official,2026-06-18T04:59:48+00:00,,Official Linn turntables landing page.
5,Kuzma Stabi R official page,https://www.kuzma.si/stabi-r.3.html,official_website,official,2026-06-18T04:59:48+00:00,,Official Kuzma Stabi R product page and linked official site descriptions.
6,Kuzma Stabi R official site description,https://www.kuzma.si/stabi-r-world-premiere-munchen-2018.html,official_website,official,2026-06-18T04:59:48+00:00,,Official Kuzma Stabi R descriptive page surfaced from official site search.
7,Oracle Delphi MkVI Second Generation official page,https://www.oracle-audio.com/delphi-mkvi-second-generation,official_website,official,2026-06-18T05:03:50+00:00,,Official Oracle product page for Delphi MkVI Second Generation.
8,Pro-Ject Xtension 12 Evolution official page,https://www.project-audio.com/en/product/xtension-12-evolution/,official_website,official,2026-06-18T05:03:50+00:00,,Official Pro-Ject Xtension 12 Evolution product page.
9,Yamaha GT-5000 official overview,https://usa.yamaha.com/products/audio_visual/hifi_components/gt-5000/index.html,official_website,official,2026-06-18T05:03:50+00:00,,Official Yamaha GT-5000 overview page.
10,VPI Prime 21 official page,https://www.vpiindustries.com/prime21,official_website,official,2026-06-18T05:03:50+00:00,,Official VPI Prime 21 product page.
11,Gold Note Mediterraneo official page,https://www.goldnote.it/turntables/mediterraneo/,official_website,official,2026-06-18T05:03:50+00:00,,Official Gold Note Mediterraneo product page.
12,Pear Audio Kid Thomas official page,https://pearaudio-analogue.com/kid-thomas/,official_website,official,2026-06-18T05:03:50+00:00,,Official Pear Audio Kid Thomas product page.
13,Acoustic Signature Invictus NEO official page,https://www.acoustic-signature.com/products/turntables/invictus-neo/,official_website,official,2026-06-18T05:06:21+00:00,,Official Acoustic Signature Invictus NEO product page.
14,Audio Note TT-Three official page,https://www.audionote.co.uk/tt-three,official_website,official,2026-06-18T05:06:21+00:00,,Official Audio Note TT-Three product page.
15,Goldmund Reference turntable official history page,https://goldmund.com/reference-turntable-dvdplayer/,official_website,official,2026-06-18T05:06:21+00:00,,Official Goldmund Reference page covering company landmark products.
16,Michell Gyro official page,https://www.michellaudio.com/michell-gyro-reference-turntable,official_website,official,2026-06-18T05:06:21+00:00,,Official Michell Gyro product page. Current official page brands the platform as Michell Gyro.
17,Basis Audio awards and reviews page,https://www.basisaudio.com/awards-reviews/,official_website,official,2026-06-18T05:06:21+00:00,,Official Basis Audio site page containing manufacturer-curated owner and reviewer commentary. Official page uses Debut Mark 5 wording.
18,Basis Audio Signature Series technical paper,https://www.basisaudio.com/turntables/signature-series-technical-paper/,official_website,official,2026-06-18T05:06:21+00:00,,Official Basis Audio technical paper for Signature Series updates.
19,TW Acustic Raven LS official page,https://www.tw-acustic.com/en/turntables/raven-ls,official_website,official,2026-06-18T05:06:21+00:00,,Official TW Acustic Raven LS product page.
20,Well Tempered Lab Amadeus MK II official page,https://www.welltemperedlab.net/products/amadeusmk2/,official_website,official,2026-06-18T05:06:21+00:00,,Official Well Tempered Lab Amadeus MK II product page.
21,Brinkmann Bardo official page,https://www.brinkmann-audio.de/main.php?lang=en&prod=bardo,official_website,official,2026-06-18T05:09:13+00:00,,Official Brinkmann Bardo product page.
22,Clearaudio Innovation official page,https://www.clearaudio.de/en/products/turntables-innovation.php,official_website,official,2026-06-18T05:09:13+00:00,,Official Clearaudio Innovation product page.
23,Garrard heritage page,https://www.garrardturntables.co.uk/heritage/,official_website,official,2026-06-18T05:09:13+00:00,,Official Garrard Turntables heritage page.
24,Garrard 301 Classic official page,https://www.garrardturntables.co.uk/301-classic/,official_website,official,2026-06-18T05:09:13+00:00,,Official Garrard 301 Classic page from current brand owner.
25,Feickert Blackbird official page,https://www.feickert.de/en/products/blackbird.html,official_website,official,2026-06-18T05:09:30+00:00,,Official Feickert Analogue Blackbird product page.
26,Micro Seiki SX-8000 Mk II operating manual translated mirror,https://micro-seiki.nl/database/db-start_html_files/SX8000II%20Japanese%20translated.pdf,official_manual,official,2026-06-18T05:09:30+00:00,/Users/mamsterla/Downloads/sx8000ii-japanese-translated-master-v2.md,Mirror of translated original Japanese operating manual linked from the Micro-Seiki.nl database. Underlying document is an original manufacturer manual; translation disclaimer remains on page 1.
27,SME Model 20 official page,https://sme.co.uk/product/model-20/,official_website,official,2026-06-18T05:09:30+00:00,,"Official SME Model 20 page. Current official lineup page no longer uses the older 20/3 naming, but represents the same compact Model 20 family target."
28,Denon DP-3000NE official page,https://www.denon.com/en-us/product/turntables/dp-3000ne/300768.html,official_website,official,2026-06-18T05:12:10+00:00,,Official Denon DP-3000NE product page.
29,Dual CS 618Q official page,https://dual.de/en/products/manual/cs-618q/,official_website,official,2026-06-18T05:12:10+00:00,,Official Dual CS 618Q product page.
30,Pioneer DJ PLX-1000 official page,https://www.pioneerdj.com/en/product/dj-players-turntables/plx-1000/,official_website,official,2026-06-18T05:12:10+00:00,,Official Pioneer DJ PLX-1000 product page.
31,Sony PS-LX310BT official page,https://electronics.sony.com/audio/audio-components/turntables/p/pslx310bt,official_website,official,2026-06-18T05:12:10+00:00,,Official Sony PS-LX310BT product page.
